60;30
'2721';0.0420;0.0420
'2711';0.0470;0.0470
'2712';0.0418;0.0418
'277, 278';0.2019;0.2019
'2773, 2783';0.1900;0.1900
'2772, 27761, 27762, 2782';0.1900;0.1900
'34';0.0094;0.0094
'3493';0.0094;0.0094
'34822, 34828, 34922, 34928';0.0094;0.0094
'3491';0.0094;0.0094
'34960, 34961, 34962, 34963';0.0094;0.0094
'346';0.1500;0.1500
'34605, 34615, 34625, 34635, 34645, 34651, 34652, 34653, 34654, 34655, 34656, 34657, 34658, 34665, 34675, 34685, 34691, 34692, 34695';0.1500;0.1500
'34606, 34608, 34609, 34616, 34618, 34619, 34620, 34626, 34628, 34629, 34630, 34636, 34638, 34639, 34646, 34648, 34649, 34650, 34659, 34660, 34669, 34676, 34679, 34680, 34686, 34689, 34690, 34696, 34699';0.1500;0.1500
'34600, 34607, 34610, 34617, 34627, 34637, 34647, 34661, 34662, 34663, 34666, 34667, 34670, 34671, 34677, 34678, 34687, 34697';0.1500;0.1500
'34803, 34806, 34807, 34905';0.0105;0.0105
'34901, 34902, 34908';0.0105;0.0105
'94';0.1100;0.1100
'249';0.1200;0.1200
'597';0.1800;0.1800
'268';0.2031;0.2031
'46';0.0110;0.0110
'468';0.0110;0.0110
'4620, 4659, 4667, 4670, 4673, 4674, 4675, 4676, 4678, 4679';0.1721;0.1721
'46124, 46126, 46127, 46129, 46252, 46704, 46707, 467321, 467322, 467355, 467356, 467357, 467358, 467359, 46736, 46737, 46739, 46762';0.1430;0.1430
'4610, 46376, 46518, 46519, 46592, 46593, 46673, 46701, 46702, 46703, 46705, 46706, 46730, 467316, 467317, 467318, 467319, 467327, 467380, 467381, 467382, 467383, 467384';0.1600;0.1600
'46674, 46708, 46709, 46733, 46734';0.1721;0.1721
'4671, 46900, 46939, 46944, 46963';0.2500;0.2500
4677;0.0120;0.0120
'41';0.0147;0.0147
'4161';0.0147;0.0147
'4131';0.0147;0.0147
'4122';0.0147;0.0147
'4121';0.0147;0.0147
'4143, 4144';0.0133;0.0133
'4174, 4177, 4186';0.2450;0.2450
'4178';0.2000;0.2000
'4176';0.2000;0.2000
4179;0.1700;0.1700
41878;0.0147;0.0147
4190;0.0147;0.0147
4184;0.0147;0.0147
'963';0.2200;0.2200
'96392, 96393, 96394, 96395';0.2300;0.2300
'886';0.0240;0.0240
'8862';0.0119;0.0119
'8869';0.0680;0.0680
'73772, 992';0.1300;0.1300
'255';0.1450;0.1450
'25524';0.1200;0.1200
'25573, 25574, 25576, 25578, 2558';0.1610;0.1610
'66';0.0400;0.0400
'662';0.0200;0.0200
'661, 6640, 665, 666, 6670, 6671, 6672, 6678, 6679, 668, 669';0.0330;0.0330
'228';0.0750;0.0750
'2289';0.1500;0.1500
'676';0.2200;0.2200
'1868';0.1700;0.1700
'216';0.1600;0.1600
'2162, 2169';0.1799;0.1799
'90';0.0300;0.0300
'90312';0.0300;0.0300
'90242';0.0300;0.0300
'90212, 90216';0.0300;0.0300
'90232';0.0300;0.0300
'905';0.1350;0.1350
'9054';0.1350;0.1350
'90530, 90531, 90532, 905330, 905331, 905332, 905333, 905334, 905335, 905336, 905337, 9053380, 9053381, 9053382, 9053383, 9053388, 9053389, 905339, 90534, 90535, 90536, 90537, 90538, 90539';0.1350;0.1350
'993';0.1190;0.1190
'1649';0.1600;0.1600
'688';0.8000;0.8000
'256';0.0800;0.0800
'25671, 25675, 25676, 25677, 25678';0.0790;0.0790
'44';0.0090;0.0090
'44207';0.0090;0.0090
'44208';0.0090;0.0090
'447';0.1400;0.1400
